index,city,lat,long,state
1, Port Blair, 11.67, 92.76, Andaman andicobar Islands
2, Adilabad, 19.68, 78.53, Andhra Pradesh
3, Adoni, 15.63, 77.28, Andhra Pradesh
4, Alwal, 17.50, 78.54, Andhra Pradesh
5, Anakapalle, 17.69, 83.00, Andhra Pradesh
6, Anantapur, 14.70, 77.59, Andhra Pradesh
7, Bapatla, 15.91, 80.47, Andhra Pradesh
8, Belampalli, 19.06, 79.49, Andhra Pradesh
9, Bhimavaram, 16.55, 81.53, Andhra Pradesh
10, Bhongir, 17.52, 78.88, Andhra Pradesh
11, Bobbili, 18.57, 83.37, Andhra Pradesh
12, Bodhan, 18.66, 77.88, Andhra Pradesh
13, Chilakalurupet, 16.10, 80.16, Andhra Pradesh
14, Chinna Chawk, 14.47, 78.83, Andhra Pradesh
15, Chirala, 15.84, 80.35, Andhra Pradesh
16, Chittur, 13.22, 79.10, Andhra Pradesh
17, Cuddapah, 14.48, 78.81, Andhra Pradesh
18, Dharmavaram, 14.42, 77.71, Andhra Pradesh
19, Dhone, 15.42, 77.88, Andhra Pradesh
20,luru, 16.72, 81.11, Andhra Pradesh
21, Gaddiannaram, 17.36, 78.52, Andhra Pradesh
22, Gadwal, 16.23, 77.80, Andhra Pradesh
23, Gajuwaka, 17.70, 83.21, Andhra Pradesh
24, Gudivada, 16.44, 81.00, Andhra Pradesh
25, Gudur, 14.15, 79.84, Andhra Pradesh
26, Guntakal, 15.18, 77.37, Andhra Pradesh
27, Guntur, 16.31, 80.44, Andhra Pradesh
28, Hindupur, 13.83, 77.48, Andhra Pradesh
29, Hyderabad, 17.40, 78.48, Andhra Pradesh
30, Jagtial, 18.80, 78.91, Andhra Pradesh
31, Kadiri, 14.12, 78.16, Andhra Pradesh
32, Kagaznagar, 19.34, 79.48, Andhra Pradesh
33, Kakinada, 16.96, 82.24, Andhra Pradesh
34, Kallur, 15.69, 77.77, Andhra Pradesh
35, Kamareddi, 18.32, 78.35, Andhra Pradesh
36, Kapra, 17.37, 78.48, Andhra Pradesh
37, Karimnagar, 18.45, 79.13, Andhra Pradesh
38, Karnul, 15.83, 78.03, Andhra Pradesh
39, Kavali, 14.92, 79.99, Andhra Pradesh
40, Khammam, 17.25, 80.15, Andhra Pradesh
41, Kodar, 16.98, 79.97, Andhra Pradesh
42, Kondukur, 15.22, 79.91, Andhra Pradesh
43, Koratla, 18.82, 78.72, Andhra Pradesh
44, Kottagudem, 17.56, 80.64, Andhra Pradesh
45, Kukatpalle, 17.49, 78.41, Andhra Pradesh
46, Lalbahaduragar, 17.43, 78.50, Andhra Pradesh
47, Machilipatnam, 16.19, 81.14, Andhra Pradesh
48, Mahbubnagar, 16.74, 77.98, Andhra Pradesh
49, Malkajgiri, 17.55, 78.59, Andhra Pradesh
50, Mancheral, 18.88, 79.45, Andhra Pradesh
51, Mandamarri, 18.97, 79.47, Andhra Pradesh
52, Mangalagiri, 16.44, 80.56, Andhra Pradesh
53, Markapur, 15.73, 79.28, Andhra Pradesh
54, Miryalaguda, 16.87, 79.57, Andhra Pradesh
55,algonda, 17.06, 79.26, Andhra Pradesh
56,andyal, 15.49, 78.48, Andhra Pradesh
57,arasapur, 16.45, 81.70, Andhra Pradesh
58,arasaraopet, 16.24, 80.04, Andhra Pradesh
59,ellur, 14.46, 79.98, Andhra Pradesh
60,irmal, 19.12, 78.35, Andhra Pradesh
61,izamabad, 18.68, 78.10, Andhra Pradesh
62,uzvid, 16.78, 80.85, Andhra Pradesh
63, Ongole, 15.50, 80.05, Andhra Pradesh
64, Palakollu, 16.52, 81.75, Andhra Pradesh
65, Palasa, 18.77, 84.42, Andhra Pradesh
66, Palwancha, 17.60, 80.68, Andhra Pradesh
67, Patancheru, 17.53, 78.27, Andhra Pradesh
68, Piduguralla, 16.48, 79.90, Andhra Pradesh
69, Ponnur, 16.07, 80.56, Andhra Pradesh
70, Proddatur, 14.73, 78.55, Andhra Pradesh
71, Qutubullapur, 17.43, 78.47, Andhra Pradesh
72, Rajamahendri, 17.02, 81.79, Andhra Pradesh
73, Rajampet, 14.18, 79.17, Andhra Pradesh
74, Rajendranagar, 17.29, 78.39, Andhra Pradesh
75, Ramachandrapuram, 17.56, 78.04, Andhra Pradesh
76, Ramagundam, 18.80, 79.45, Andhra Pradesh
77, Rayachoti, 14.05, 78.75, Andhra Pradesh
78, Rayadrug, 14.70, 76.87, Andhra Pradesh
79, Samalkot, 17.06, 82.18, Andhra Pradesh
80, Sangareddi, 17.63, 78.08, Andhra Pradesh
81, Sattenapalle, 16.40, 80.18, Andhra Pradesh
82, Serilungampalle, 17.48, 78.33, Andhra Pradesh
83, Siddipet, 18.11, 78.84, Andhra Pradesh
84, Sikandarabad, 17.47, 78.52, Andhra Pradesh
85, Sirsilla, 18.40, 78.81, Andhra Pradesh
86, Srikakulam, 18.30, 83.90, Andhra Pradesh
87, Srikalahasti, 13.76, 79.70, Andhra Pradesh
88, Suriapet, 17.15, 79.62, Andhra Pradesh
89, Tadepalle, 16.48, 80.60, Andhra Pradesh
90, Tadepallegudem, 16.82, 81.52, Andhra Pradesh
91, Tadpatri, 14.91, 78.00, Andhra Pradesh
92, Tandur, 17.25, 77.58, Andhra Pradesh
93, Tanuku, 16.75, 81.69, Andhra Pradesh
94, Tenali, 16.24, 80.65, Andhra Pradesh
95, Tirupati, 13.63, 79.41, Andhra Pradesh
96, Tuni, 17.35, 82.55, Andhra Pradesh
97, Uppal Kalan, 17.38, 78.55, Andhra Pradesh
98, Vijayawada, 16.52, 80.63, Andhra Pradesh
99, Vinukonda, 16.05, 79.75, Andhra Pradesh
100, Visakhapatnam, 17.73, 83.30, Andhra Pradesh
101, Vizianagaram, 18.12, 83.40, Andhra Pradesh
102, Vuyyuru, 16.37, 80.85, Andhra Pradesh
103, Wanparti, 16.37, 78.07, Andhra Pradesh
104, Warangal, 18.01, 79.58, Andhra Pradesh
105, Yemmiganur, 15.73, 77.48, Andhra Pradesh
106, Itanagar, 27.14, 93.61, Arunachal Pradesh
107, Barpeta, 26.32, 91.00, Assam
108, Bongaigaon, 26.48, 90.54, Assam
109, Dhuburi, 26.03, 89.97, Assam
110, Dibrugarh, 27.49, 94.91, Assam
111, Diphu, 25.84, 93.43, Assam
112, Guwahati, 26.19, 91.75, Assam
113, Jorhat, 26.76, 94.20, Assam
114, Karimganj, 24.85, 92.36, Assam
115, Lakhimpur, 27.24, 94.10, Assam
116, Lanka, 25.93, 92.95, Assam
117,agaon, 26.35, 92.68, Assam
118, Sibsagar, 26.99, 94.63, Assam
119, Silchar, 24.83, 92.77, Assam
120, Tezpur, 26.63, 92.79, Assam
121, Tinsukia, 27.50, 95.36, Assam
122, Alipur Duar, 26.50, 89.53, West Bengal
123, Arambagh, 22.88, 87.78, West Bengal
124, Asansol, 23.69, 86.98, West Bengal
125, Ashoknagar Kalyangarh, 22.84, 88.63, West Bengal
126, Baharampur, 24.10, 88.24, West Bengal
127, Baidyabati, 22.79, 88.33, West Bengal
128, Baj Baj, 22.48, 88.17, West Bengal
129, Bally, 22.65, 88.35, West Bengal
130, Bally Cantonment, 22.65, 88.36, West Bengal
131, Balurghat, 25.23, 88.77, West Bengal
132, Bangaon, 23.05, 88.83, West Bengal
133, Bankra, 22.58, 88.31, West Bengal
134, Bankura, 23.24, 87.07, West Bengal
135, Bansbaria, 22.95, 88.40, West Bengal
136, Baranagar, 22.64, 88.37, West Bengal
137, Barddhaman, 23.24, 87.86, West Bengal
138, Basirhat, 22.66, 88.86, West Bengal
139, Bhadreswar, 22.84, 88.35, West Bengal
140, Bhatpara, 22.89, 88.42, West Bengal
141, Bidhannagar, 22.57, 88.42, West Bengal
142, Binnaguri, 26.74, 89.037, West Bengal
143, Bishnupur, 23.08, 87.33, West Bengal
144, Bolpur, 23.67, 87.70, West Bengal
145, Calcutta, 22.57, 88.36, West Bengal
146, Chakdaha, 22.48, 88.35, West Bengal
147, Champdani, 22.81, 88.34, West Bengal
148, Chandannagar, 22.89, 88.37, West Bengal
149, Contai, 21.79, 87.75, West Bengal
150, Dabgram, , , West Bengal
151, Darjiling, 27.05, 88.26, West Bengal
152, Dhulian, 24.68, 87.97, West Bengal
153, Dinhata, 26.13, 89.47, West Bengal
154, Dum Dum, 22.63, 88.42, West Bengal
155, Durgapur, 23.50, 87.31, West Bengal
156, Gangarampur, 25.40, 88.52, West Bengal
157, Garulia, 22.83, 88.37, West Bengal
158, Gayespur, 22.98, 88.51, West Bengal
159, Ghatal, 22.67, 87.72, West Bengal
160, Gopalpur, , , West Bengal
161, Habra, 22.84, 88.62, West Bengal
162, Halisahar, 22.95, 88.42, West Bengal
163, Haora, 22.58, 88.33, West Bengal
164, HugliChunchura, 22.91, 88.40, West Bengal
165, Ingraj Bazar, 25.01, 88.14, West Bengal
166, Islampur, 26.27, 88.20, West Bengal
167, Jalpaiguri, 26.53, 88.71, West Bengal
168, Jamuria, 23.70, 87.08, West Bengal
169, Jangipur, 24.47, 88.07, West Bengal
170, Jhargram, 22.45, 86.98, West Bengal
171, Kaliyaganj, 25.63, 88.32, West Bengal
172, Kalna, 23.22, 88.37, West Bengal
173, Kalyani, 22.98, 88.48, West Bengal
174, Kamarhati, 22.67, 88.37, West Bengal
175, Kanchrapara, 22.95, 88.45, West Bengal
176, Kandi, 23.95, 88.03, West Bengal
177, Karsiyang, 26.88, 88.28, West Bengal
178, Katwa, 23.65, 88.13, West Bengal
179, Kharagpur, 22.34, 87.31, West Bengal
180, Kharagpur Railway Settlement, 22.34, 87.26, West Bengal
181, Khardaha, 22.73, 88.38, West Bengal
182, Kharia, , , West Bengal
183, Koch Bihar, 26.33, 89.46, West Bengal
184, Konnagar, 22.70, 88.36, West Bengal
185, Krishnanagar, 23.41, 88.51, West Bengal
186, Kulti, 23.72, 86.89, West Bengal
187, Madhyamgram, 22.70, 88.45, West Bengal
188, Maheshtala, 22.51, 88.23, West Bengal
189, Memari, 23.20, 88.12, West Bengal
190, Midnapur, 22.33, 87.15, West Bengal
191,aihati, 22.91, 88.43, West Bengal
192,avadwip, 23.42, 88.37, West Bengal
193,i Barakpur, 22.77, 88.36, West Bengal
194,orth Barakpur, 22.78, 88.37, West Bengal
195,orth Dum Dum, 22.64, 88.41, West Bengal
196, Old Maldah, , , West Bengal
197, Panihati, 22.69, 88.37, West Bengal
198, Phulia, 23.24, 88.50, West Bengal
199, Pujali, 22.47, 88.15, West Bengal
200, Puruliya, 23.34, 86.36, West Bengal
201, Raiganj, 25.62, 88.12, West Bengal
202, Rajpur, 22.44, 88.44, West Bengal
203, Rampur Hat, 24.17, 87.78, West Bengal
204, Ranaghat, 23.19, 88.58, West Bengal
205, Raniganj, 23.62, 87.11, West Bengal
206, Rishra, 22.71, 88.36, West Bengal
207, Shantipur, 23.26, 88.44, West Bengal
208, Shiliguri, 26.73, 88.42, West Bengal
209, Shrirampur, 22.74, 88.35, West Bengal
210, Siuri, 23.91, 87.53, West Bengal
211, South Dum Dum, 22.61, 88.41, West Bengal
212, Titagarh, 22.74, 88.38, West Bengal
213, Ulubaria, 22.47, 88.11, West Bengal
214, UttarparaKotrung, 22.66, 88.35, West Bengal
215, Araria, 26.15, 87.52, Bihar
216, Arrah, 25.56, 84.66, Bihar
217, Aurangabad, 24.75, 84.37, Bihar
218, Bagaha, 27.10, 84.09, Bihar
219, Begusarai, 25.42, 86.12, Bihar
220, Bettiah, 26.81, 84.50, Bihar
221, Bhabua, 25.05, 83.62, Bihar
222, Bhagalpur, 25.26, 86.98, Bihar
223, Bihar, 25.21, 85.52, Bihar
224, Buxar, 25.58, 83.98, Bihar
225, Chhapra, 25.78, 84.72, Bihar
226, Darbhanga, 26.16, 85.88, Bihar
227, Dehri, 24.91, 84.18, Bihar
228, DighaMainpura, , , Bihar
229, Dinapur, 25.64, 85.04, Bihar
230, Dumraon, 25.55, 84.15, Bihar
231, Gaya, 24.81, 85.00, Bihar
232, Gopalganj, 26.47, 84.43, Bihar
233, Goura, , , Bihar
234, Hajipur, , , Bihar
235, Jahanabad, 25.22, 84.98, Bihar
236, Jamalpur, 25.32, 86.48, Bihar
237, Jamui, 24.92, 86.22, Bihar
238, Katihar, 25.55, 87.57, Bihar
239, Khagaria, 25.50, 86.48, Bihar
240, Khagaul, 25.58, 85.05, Bihar
241, Kishanganj, 26.11, 87.95, Bihar
242, Lakhisarai, 25.18, 86.09, Bihar
243, Madhipura, 25.92, 86.78, Bihar
244, Madhubani, 26.37, 86.06, Bihar
245, Masaurhi, 25.35, 85.03, Bihar
246, Mokama, 25.40, 85.92, Bihar
247, Motihari, 26.66, 84.91, Bihar
248, Munger, 25.39, 86.47, Bihar
249, Muzaffarpur, 26.13, 85.38, Bihar
250,awada, 24.88, 85.54, Bihar
251, Patna, 25.62, 85.13, Bihar
252, Phulwari, 25.60, 85.13, Bihar
253, Purnia, 25.78, 87.47, Bihar
254, Raxaul, 26.98, 84.85, Bihar
255, Saharsa, 25.88, 86.59, Bihar
256, Samastipur, 25.85, 85.78, Bihar
257, Sasaram, 24.96, 84.01, Bihar
258, Sitamarhi, 26.61, 85.48, Bihar
259, Siwan, 26.23, 84.35, Bihar
260, Supaul, 26.12, 86.60, Bihar
261, Chandigarh, 30.75, 76.78, Chandigarh
262, Ambikapur, 23.13, 83.20, Chhattisgarh
263, Bhilai, 21.21, 81.38, Chhattisgarh
264, Bilaspur, 22.09, 82.15, Chhattisgarh
265, Charoda, 21.23, 81.50, Chhattisgarh
266, Chirmiri, 23.21, 82.41, Chhattisgarh
267, Dhamtari, 20.71, 81.55, Chhattisgarh
268, Durg, 21.20, 81.28, Chhattisgarh
269, Jagdalpur, 19.09, 82.03, Chhattisgarh
270, Korba, 22.35, 82.69, Chhattisgarh
271, Raigarh, 21.90, 83.39, Chhattisgarh
272, Raipur, 21.24, 81.63, Chhattisgarh
273, Rajnandgaon, 21.10, 81.04, Chhattisgarh
274, Bhalswa Jahangirpur, 28.74, 77.17, Delhi
275, Burari, , , Delhi
276, Chilla Saroda Bangar, , , Delhi
277, Dallo Pura, , , Delhi
278, Delhi, 28.67, 77.21, Delhi
279, Deoli, 28.49, 77.22, Delhi
280, Dilli Cantonment, 28.57, 77.16, Delhi
281, Gharoli, , , Delhi
282, Gokalpur, 28.71, 77.28, Delhi
283, Hastsal, , , Delhi
284, Jaffrabad, , , Delhi
285, Karawalagar, , , Delhi
286, Khajuri Khas, , , Delhi
287, Kirari Sulemanagar, , , Delhi
288, Mandoli, , , Delhi
289, Mithe Pur, , , Delhi
290, Molarband, , , Delhi
291, Mundka, , , Delhi
292, Mustafabad, , , Delhi
293,angloi Jat, 28.68, 77.07, Delhi
294,i Dilli, 28.60, 77.22, Delhi
295, Pul Pehlad, , , Delhi
296, Puth Kalan, , , Delhi
297, Roshan Pura, 28.60, 76.99, Delhi
298, Sadat Pur Gujran, , , Delhi
299, Sultanpur Majra, 28.76, 77.06, Delhi
300, Tajpul, , , Delhi
301, Tigri, 28.50, 77.22, Delhi
302, Ziauddin Pur, , , Delhi
303, Madgaon, 15.28, 73.94, Goa
304, Mormugao, 15.42, 73.78, Goa
305, Panaji, 15.50, 73.81, Goa
306, Ahmadabad, 23.03, 72.58, Gujarat
307, Amreli, 21.61, 71.22, Gujarat
308, Anand, 22.56, 72.95, Gujarat
309, Anjar, 23.12, 70.02, Gujarat
310, Bardoli, 21.12, 73.12, Gujarat
311, Bharuch, 21.71, 72.97, Gujarat
312, Bhavnagar, 21.79, 72.13, Gujarat
313, Bhuj, 23.26, 69.66, Gujarat
314, Borsad, 22.42, 72.90, Gujarat
315, Botad, 22.18, 71.66, Gujarat
316, Chandkheda, 23.15, 72.61, Gujarat
317, Chandlodiya, 23.10, 72.56, Gujarat
318, Dabhoi, 22.13, 73.41, Gujarat
319, Dahod, 22.84, 74.25, Gujarat
320, Dholka, 22.74, 72.44, Gujarat
321, Dhoraji, 21.74, 70.44, Gujarat
322, Dhrangadhra, 23.00, 71.46, Gujarat
323, Disa, 24.26, 72.18, Gujarat
324, Gandhidham, 23.07, 70.13, Gujarat
325, Gandhinagar, 23.30, 72.63, Gujarat
326, Ghatlodiya, 23.05, 72.55, Gujarat
327, Godhra, 22.77, 73.60, Gujarat
328, Gondal, 21.97, 70.80, Gujarat
329, Himatnagar, 23.60, 72.96, Gujarat
330, Jamnagar, 22.47, 70.07, Gujarat
331, Jamnagar, , , Gujarat
332, Jetpur, 21.75, 70.61, Gujarat
333, Junagadh, 21.52, 70.45, Gujarat
334, Kalol, 23.25, 72.49, Gujarat
335, Keshod, 21.31, 70.23, Gujarat
336, Khambhat, 22.32, 72.61, Gujarat
337, Kundla, 21.35, 71.30, Gujarat
338, Mahuva, 21.10, 71.75, Gujarat
339, Mangrol, 21.12, 70.12, Gujarat
340, Modasa, 23.47, 73.30, Gujarat
341, Morvi, 22.82, 70.83, Gujarat
342,adiad, 22.70, 72.85, Gujarat
343,avagam Ghed, , , Gujarat
344,avsari, 20.96, 72.92, Gujarat
345, Palitana, 21.52, 71.83, Gujarat
346, Patan, 23.86, 72.11, Gujarat
347, Porbandar, 21.65, 69.60, Gujarat
348, Puna, , , Gujarat
349, Rajkot, 22.31, 70.79, Gujarat
350, Ramod, , , Gujarat
351, Ranip, 23.03, 72.54, Gujarat
352, Siddhapur, 23.92, 72.37, Gujarat
353, Sihor, 21.70, 71.97, Gujarat
354, Surat, 21.20, 72.82, Gujarat
355, Surendranagar, 22.71, 71.67, Gujarat
356, Thaltej, , , Gujarat
357, Una, 20.82, 71.03, Gujarat
358, Unjha, 23.81, 72.38, Gujarat
359, Upleta, 21.75, 70.27, Gujarat
360, Vadodara, 22.31, 73.18, Gujarat
361, Valsad, 20.62, 72.92, Gujarat
362, Vapi, 20.37, 72.90, Gujarat
363, Vastral, , , Gujarat
364, Vejalpur, , , Gujarat
365, Veraval, 20.92, 70.34, Gujarat
366, Vijalpor, , , Gujarat
367, Visnagar, 23.71, 72.54, Gujarat
368, Wadhwan, 22.73, 71.72, Gujarat
369, Ambala, 30.38, 76.77, Haryana
370, Ambala Cantonment, 30.39, 76.86, Haryana
371, Ambala Sadar, 30.35, 76.84, Haryana
372, Bahadurgarh, 28.69, 76.92, Haryana
373, Bhiwani, 28.81, 76.12, Haryana
374, Charkhi Dadri, 28.60, 76.27, Haryana
375, Dabwali, 29.95, 74.73, Haryana
376, Faridabad, 28.38, 77.30, Haryana
377, Gohana, 29.13, 76.70, Haryana
378, Hisar, 29.17, 75.72, Haryana
379, Jagadhri, 30.18, 77.29, Haryana
380, Jind, 29.31, 76.30, Haryana
381, Kaithal, 29.81, 76.40, Haryana
382, Karnal, 29.69, 76.97, Haryana
383,arnaul, 28.04, 76.10, Haryana
384,arwana, 29.62, 76.12, Haryana
385, Palwal, 28.15, 77.32, Haryana
386, Panchkula, 30.70, 76.88, Haryana
387, Panipat, 29.39, 76.96, Haryana
388, Rewari, 28.19, 76.60, Haryana
389, Rohtak, 28.90, 76.58, Haryana
390, Sirsa, 29.53, 75.03, Haryana
391, Sonipat, 28.99, 77.01, Haryana
392, Thanesar, 29.98, 76.82, Haryana
393, Tohana, 29.70, 75.90, Haryana
394, Yamunanagar, 30.14, 77.28, Haryana
395, Shimla, 31.11, 77.16, Himachal Pradesh
396, Anantnag, 33.73, 75.15, Jammu and Kashmir
397, Baramula, 34.20, 74.35, Jammu and Kashmir
398, Bari Brahmana, , , Jammu and Kashmir
399, Jammu, 32.71, 74.85, Jammu and Kashmir
400, Kathua, 32.37, 75.52, Jammu and Kashmir
401, Sopur, 34.30, 74.47, Jammu and Kashmir
402, Srinagar, 34.09, 74.79, Jammu and Kashmir
403, Udhampur, 32.93, 75.13, Jammu and Kashmir
404, Adityapur, 22.80, 86.04, Jharkhand
405, Bagbahra, 22.82, 86.20, Jharkhand
406, Bhuli, 23.79, 86.38, Jharkhand
407, Bokaro, 23.78, 85.96, Jharkhand
408, Chaibasa, 22.56, 85.80, Jharkhand
409, Chas, 23.65, 86.17, Jharkhand
410, Daltenganj, 24.05, 84.06, Jharkhand
411, Devghar, 24.49, 86.69, Jharkhand
412, Dhanbad, 23.80, 86.42, Jharkhand
413, Hazaribag, 24.01, 85.36, Jharkhand
414, Jamshedpur, 22.79, 86.20, Jharkhand
415, Jharia, 23.76, 86.42, Jharkhand
416, Jhumri Tilaiya, 24.43, 85.52, Jharkhand
417, Jorapokhar, 23.79, 86.36, Jharkhand
418, Katras, 23.80, 86.28, Jharkhand
419, Lohardaga, 23.43, 84.68, Jharkhand
420, Mango, 22.85, 86.21, Jharkhand
421, Phusro, 23.68, 85.86, Jharkhand
422, Ramgarh, 23.63, 85.51, Jharkhand
423, Ranchi, 23.36, 85.33, Jharkhand
424, Sahibganj, 25.25, 87.62, Jharkhand
425, Saunda, 23.64, 85.37, Jharkhand
426, Sindari, 23.68, 86.49, Jharkhand
427, Bagalkot, 16.19, 75.69, Karnataka
428, Bangalore, 12.97, 77.56, Karnataka
429, Basavakalyan, 17.87, 76.95, Karnataka
430, Belgaum, 15.86, 74.50, Karnataka
431, Bellary, 15.14, 76.91, Karnataka
432, Bhadravati, 13.84, 75.69, Karnataka
433, Bidar, 17.92, 77.52, Karnataka
