States,Latitude,Longitude,Date Announced,Patient Number
Andaman and Nicobar Islands,11.667025599999999,92.73598262,2020-03-26,1
Andaman and Nicobar Islands,11.667025599999999,92.73598262,2020-03-27,5
Andaman and Nicobar Islands,11.667025599999999,92.73598262,2020-03-28,3
Andaman and Nicobar Islands,11.667025599999999,92.73598262,2020-03-30,1
Andaman and Nicobar Islands,11.667025599999999,92.73598262,2020-04-08,1
Andhra Pradesh,15.7504291,80.57002559,2020-03-12,1
Andhra Pradesh,15.7504291,80.57002559,2020-03-19,2
Andhra Pradesh,15.7504291,80.57002559,2020-03-21,2
Andhra Pradesh,15.7504291,80.57002559,2020-03-22,1
Andhra Pradesh,15.7504291,80.57002559,2020-03-23,1
Andhra Pradesh,15.7504291,80.57002559,2020-03-24,1
Andhra Pradesh,15.7504291,80.57002559,2020-03-25,2
Andhra Pradesh,15.7504291,80.57002559,2020-03-26,1
Andhra Pradesh,15.7504291,80.57002559,2020-03-27,2
Andhra Pradesh,15.7504291,80.57002559,2020-03-28,6
Andhra Pradesh,15.7504291,80.57002559,2020-03-29,2
Andhra Pradesh,15.7504291,80.57002559,2020-03-30,2
Andhra Pradesh,15.7504291,80.57002559,2020-03-31,21
Andhra Pradesh,15.7504291,80.57002559,2020-04-01,67
Andhra Pradesh,15.7504291,80.57002559,2020-04-02,38
Andhra Pradesh,15.7504291,80.57002559,2020-04-03,15
Andhra Pradesh,15.7504291,80.57002559,2020-04-04,28
Andhra Pradesh,15.7504291,80.57002559,2020-04-05,64
Andhra Pradesh,15.7504291,80.57002559,2020-04-06,47
Andhra Pradesh,15.7504291,80.57002559,2020-04-07,11
Andhra Pradesh,15.7504291,80.57002559,2020-04-08,34
Andhra Pradesh,15.7504291,80.57002559,2020-04-09,15
Andhra Pradesh,15.7504291,80.57002559,2020-04-10,18
Andhra Pradesh,15.7504291,80.57002559,2020-04-11,24
Andhra Pradesh,15.7504291,80.57002559,2020-04-12,15
Andhra Pradesh,15.7504291,80.57002559,2020-04-13,19
Andhra Pradesh,15.7504291,80.57002559,2020-04-14,45
Andhra Pradesh,15.7504291,80.57002559,2020-04-15,41
Arunachal Pradesh,27.1003988,93.61660071,2020-04-02,1
Assam,26.7499809,94.21666744,2020-03-31,1
Assam,26.7499809,94.21666744,2020-04-01,15
Assam,26.7499809,94.21666744,2020-04-03,7
Assam,26.7499809,94.21666744,2020-04-04,3
Assam,26.7499809,94.21666744,2020-04-07,2
Assam,26.7499809,94.21666744,2020-04-09,1
Assam,26.7499809,94.21666744,2020-04-13,2
Assam,26.7499809,94.21666744,2020-04-14,1
Bihar,24.5854145,85.07997270000001,2020-03-22,2
Bihar,24.5854145,85.07997270000001,2020-03-23,1
Bihar,24.5854145,85.07997270000001,2020-03-25,1
Bihar,24.5854145,85.07997270000001,2020-03-26,3
Bihar,24.5854145,85.07997270000001,2020-03-27,2
Bihar,24.5854145,85.07997270000001,2020-03-28,2
Bihar,24.5854145,85.07997270000001,2020-03-29,4
Bihar,24.5854145,85.07997270000001,2020-03-31,6
Bihar,24.5854145,85.07997270000001,2020-04-01,3
Bihar,24.5854145,85.07997270000001,2020-04-02,5
Bihar,24.5854145,85.07997270000001,2020-04-03,2
Bihar,24.5854145,85.07997270000001,2020-04-04,1
Bihar,24.5854145,85.07997270000001,2020-04-07,6
Bihar,24.5854145,85.07997270000001,2020-04-08,1
Bihar,24.5854145,85.07997270000001,2020-04-09,19
Bihar,24.5854145,85.07997270000001,2020-04-10,2
Bihar,24.5854145,85.07997270000001,2020-04-11,4
Bihar,24.5854145,85.07997270000001,2020-04-13,2
Bihar,24.5854145,85.07997270000001,2020-04-15,4
Chandigarh,30.719996999999996,76.78000565,2020-03-19,1
Chandigarh,30.719996999999996,76.78000565,2020-03-20,4
Chandigarh,30.719996999999996,76.78000565,2020-03-22,1
Chandigarh,30.719996999999996,76.78000565,2020-03-23,1
Chandigarh,30.719996999999996,76.78000565,2020-03-27,1
Chandigarh,30.719996999999996,76.78000565,2020-03-30,5
Chandigarh,30.719996999999996,76.78000565,2020-03-31,2
Chandigarh,30.719996999999996,76.78000565,2020-04-01,2
Chandigarh,30.719996999999996,76.78000565,2020-04-02,1
Chandigarh,30.719996999999996,76.78000565,2020-04-10,1
Chandigarh,30.719996999999996,76.78000565,2020-04-12,2
Chhattisgarh,22.0904204,82.15998734,2020-03-19,1
Chhattisgarh,22.0904204,82.15998734,2020-03-25,2
Chhattisgarh,22.0904204,82.15998734,2020-03-26,3
Chhattisgarh,22.0904204,82.15998734,2020-03-28,1
Chhattisgarh,22.0904204,82.15998734,2020-03-30,1
Chhattisgarh,22.0904204,82.15998734,2020-03-31,1
Chhattisgarh,22.0904204,82.15998734,2020-04-04,1
Chhattisgarh,22.0904204,82.15998734,2020-04-09,8
Chhattisgarh,22.0904204,82.15998734,2020-04-11,7
Chhattisgarh,22.0904204,82.15998734,2020-04-12,6
Chhattisgarh,22.0904204,82.15998734,2020-04-14,2
Delhi,28.6699929,77.23000403,2020-03-02,1
Delhi,28.6699929,77.23000403,2020-03-05,1
Delhi,28.6699929,77.23000403,2020-03-06,1
Delhi,28.6699929,77.23000403,2020-03-09,1
Delhi,28.6699929,77.23000403,2020-03-11,1
Delhi,28.6699929,77.23000403,2020-03-12,1
Delhi,28.6699929,77.23000403,2020-03-13,1
Delhi,28.6699929,77.23000403,2020-03-17,3
Delhi,28.6699929,77.23000403,2020-03-18,1
Delhi,28.6699929,77.23000403,2020-03-19,3
Delhi,28.6699929,77.23000403,2020-03-20,6
Delhi,28.6699929,77.23000403,2020-03-21,7
Delhi,28.6699929,77.23000403,2020-03-22,1
Delhi,28.6699929,77.23000403,2020-03-23,2
Delhi,28.6699929,77.23000403,2020-03-25,5
Delhi,28.6699929,77.23000403,2020-03-26,4
Delhi,28.6699929,77.23000403,2020-03-27,1
Delhi,28.6699929,77.23000403,2020-03-28,9
Delhi,28.6699929,77.23000403,2020-03-29,23
Delhi,28.6699929,77.23000403,2020-03-30,25
Delhi,28.6699929,77.23000403,2020-03-31,23
Delhi,28.6699929,77.23000403,2020-04-01,32
Delhi,28.6699929,77.23000403,2020-04-02,141
Delhi,28.6699929,77.23000403,2020-04-03,93
Delhi,28.6699929,77.23000403,2020-04-04,59
Delhi,28.6699929,77.23000403,2020-04-05,58
Delhi,28.6699929,77.23000403,2020-04-06,22
Delhi,28.6699929,77.23000403,2020-04-07,51
Delhi,28.6699929,77.23000403,2020-04-08,93
Delhi,28.6699929,77.23000403,2020-04-09,51
Delhi,28.6699929,77.23000403,2020-04-10,183
Delhi,28.6699929,77.23000403,2020-04-11,166
Delhi,28.6699929,77.23000403,2020-04-12,85
Delhi,28.6699929,77.23000403,2020-04-13,356
Delhi,28.6699929,77.23000403,2020-04-14,51
Goa,15.491997,73.81800065,2020-03-25,3
Goa,15.491997,73.81800065,2020-03-29,2
Goa,15.491997,73.81800065,2020-04-03,1
Goa,15.491997,73.81800065,2020-04-04,1
Gujarat,22.2587,71.7924,2020-03-19,2
Gujarat,22.2587,71.7924,2020-03-20,5
Gujarat,22.2587,71.7924,2020-03-21,7
Gujarat,22.2587,71.7924,2020-03-22,4
Gujarat,22.2587,71.7924,2020-03-23,12
Gujarat,22.2587,71.7924,2020-03-24,6
Gujarat,22.2587,71.7924,2020-03-25,2
Gujarat,22.2587,71.7924,2020-03-26,6
Gujarat,22.2587,71.7924,2020-03-27,3
Gujarat,22.2587,71.7924,2020-03-28,8
Gujarat,22.2587,71.7924,2020-03-29,8
Gujarat,22.2587,71.7924,2020-03-30,7
Gujarat,22.2587,71.7924,2020-03-31,4
Gujarat,22.2587,71.7924,2020-04-01,13
Gujarat,22.2587,71.7924,2020-04-02,1
Gujarat,22.2587,71.7924,2020-04-03,7
Gujarat,22.2587,71.7924,2020-04-04,13
Gujarat,22.2587,71.7924,2020-04-05,20
Gujarat,22.2587,71.7924,2020-04-06,18
Gujarat,22.2587,71.7924,2020-04-07,29
Gujarat,22.2587,71.7924,2020-04-08,11
Gujarat,22.2587,71.7924,2020-04-09,76
Gujarat,22.2587,71.7924,2020-04-10,116
Gujarat,22.2587,71.7924,2020-04-11,90
Gujarat,22.2587,71.7924,2020-04-12,48
Gujarat,22.2587,71.7924,2020-04-13,56
Gujarat,22.2587,71.7924,2020-04-14,78
Gujarat,22.2587,71.7924,2020-04-15,116
Haryana,28.050006300000003,76.51999101,2020-03-04,14
Haryana,28.050006300000003,76.51999101,2020-03-17,1
Haryana,28.050006300000003,76.51999101,2020-03-18,2
Haryana,28.050006300000003,76.51999101,2020-03-20,2
Haryana,28.050006300000003,76.51999101,2020-03-21,2
Haryana,28.050006300000003,76.51999101,2020-03-23,7
Haryana,28.050006300000003,76.51999101,2020-03-24,2
Haryana,28.050006300000003,76.51999101,2020-03-25,1
Haryana,28.050006300000003,76.51999101,2020-03-26,1
Haryana,28.050006300000003,76.51999101,2020-03-27,1
Haryana,28.050006300000003,76.51999101,2020-03-28,2
Haryana,28.050006300000003,76.51999101,2020-03-30,1
Haryana,28.050006300000003,76.51999101,2020-03-31,7
Haryana,28.050006300000003,76.51999101,2020-04-02,6
Haryana,28.050006300000003,76.51999101,2020-04-03,9
Haryana,28.050006300000003,76.51999101,2020-04-04,26
Haryana,28.050006300000003,76.51999101,2020-04-05,6
Haryana,28.050006300000003,76.51999101,2020-04-06,20
Haryana,28.050006300000003,76.51999101,2020-04-07,33
Haryana,28.050006300000003,76.51999101,2020-04-08,24
Haryana,28.050006300000003,76.51999101,2020-04-09,3
Haryana,28.050006300000003,76.51999101,2020-04-10,6
Haryana,28.050006300000003,76.51999101,2020-04-11,3
Haryana,28.050006300000003,76.51999101,2020-04-12,16
Haryana,28.050006300000003,76.51999101,2020-04-13,1
Haryana,28.050006300000003,76.51999101,2020-04-14,2
Haryana,28.050006300000003,76.51999101,2020-04-15,6
Himachal Pradesh,31.1000255,77.16659704,2020-03-20,2
Himachal Pradesh,31.1000255,77.16659704,2020-03-23,1
Himachal Pradesh,31.1000255,77.16659704,2020-04-02,3
Himachal Pradesh,31.1000255,77.16659704,2020-04-04,7
Himachal Pradesh,31.1000255,77.16659704,2020-04-05,1
Himachal Pradesh,31.1000255,77.16659704,2020-04-06,4
Himachal Pradesh,31.1000255,77.16659704,2020-04-07,9
Himachal Pradesh,31.1000255,77.16659704,2020-04-09,1
Himachal Pradesh,31.1000255,77.16659704,2020-04-11,4
Himachal Pradesh,31.1000255,77.16659704,2020-04-14,1
Himachal Pradesh,31.1000255,77.16659704,2020-04-15,2
Jammu and Kashmir,33.5999593,75.46665849,2020-03-09,1
Jammu and Kashmir,33.5999593,75.46665849,2020-03-13,1
Jammu and Kashmir,33.5999593,75.46665849,2020-03-16,1
Jammu and Kashmir,33.5999593,75.46665849,2020-03-18,1
Jammu and Kashmir,33.5999593,75.46665849,2020-03-24,2
Jammu and Kashmir,33.5999593,75.46665849,2020-03-25,5
Jammu and Kashmir,33.5999593,75.46665849,2020-03-26,3
Jammu and Kashmir,33.5999593,75.46665849,2020-03-27,6
Jammu and Kashmir,33.5999593,75.46665849,2020-03-28,13
Jammu and Kashmir,33.5999593,75.46665849,2020-03-29,5
Jammu and Kashmir,33.5999593,75.46665849,2020-03-30,11
Jammu and Kashmir,33.5999593,75.46665849,2020-03-31,6
Jammu and Kashmir,33.5999593,75.46665849,2020-04-01,7
Jammu and Kashmir,33.5999593,75.46665849,2020-04-02,8
Jammu and Kashmir,33.5999593,75.46665849,2020-04-03,5
Jammu and Kashmir,33.5999593,75.46665849,2020-04-04,17
Jammu and Kashmir,33.5999593,75.46665849,2020-04-05,14
Jammu and Kashmir,33.5999593,75.46665849,2020-04-06,3
Jammu and Kashmir,33.5999593,75.46665849,2020-04-07,16
Jammu and Kashmir,33.5999593,75.46665849,2020-04-08,33
Jammu and Kashmir,33.5999593,75.46665849,2020-04-09,26
Jammu and Kashmir,33.5999593,75.46665849,2020-04-10,23
Jammu and Kashmir,33.5999593,75.46665849,2020-04-11,17
Jammu and Kashmir,33.5999593,75.46665849,2020-04-12,21
Jammu and Kashmir,33.5999593,75.46665849,2020-04-13,25
Jammu and Kashmir,33.5999593,75.46665849,2020-04-14,8
Jammu and Kashmir,33.5999593,75.46665849,2020-04-15,22
Jharkhand,23.8003935,86.41998572,2020-03-31,1
Jharkhand,23.8003935,86.41998572,2020-04-02,1
Jharkhand,23.8003935,86.41998572,2020-04-05,1
Jharkhand,23.8003935,86.41998572,2020-04-06,1
Jharkhand,23.8003935,86.41998572,2020-04-09,9
Jharkhand,23.8003935,86.41998572,2020-04-10,1
Jharkhand,23.8003935,86.41998572,2020-04-11,3
Jharkhand,23.8003935,86.41998572,2020-04-12,2
Jharkhand,23.8003935,86.41998572,2020-04-13,5
Jharkhand,23.8003935,86.41998572,2020-04-14,3
Jharkhand,23.8003935,86.41998572,2020-04-15,1
Karnataka,12.570381300000001,76.91999711,2020-03-09,1
Karnataka,12.570381300000001,76.91999711,2020-03-10,3
Karnataka,12.570381300000001,76.91999711,2020-03-12,1
Karnataka,12.570381300000001,76.91999711,2020-03-13,1
Karnataka,12.570381300000001,76.91999711,2020-03-16,1
Karnataka,12.570381300000001,76.91999711,2020-03-17,4
Karnataka,12.570381300000001,76.91999711,2020-03-18,3
Karnataka,12.570381300000001,76.91999711,2020-03-19,1
Karnataka,12.570381300000001,76.91999711,2020-03-21,5
Karnataka,12.570381300000001,76.91999711,2020-03-22,6
Karnataka,12.570381300000001,76.91999711,2020-03-23,7
Karnataka,12.570381300000001,76.91999711,2020-03-24,8
Karnataka,12.570381300000001,76.91999711,2020-03-25,10
Karnataka,12.570381300000001,76.91999711,2020-03-26,4
Karnataka,12.570381300000001,76.91999711,2020-03-27,9
Karnataka,12.570381300000001,76.91999711,2020-03-28,12
Karnataka,12.570381300000001,76.91999711,2020-03-29,7
Karnataka,12.570381300000001,76.91999711,2020-03-30,5
Karnataka,12.570381300000001,76.91999711,2020-03-31,13
Karnataka,12.570381300000001,76.91999711,2020-04-01,9
Karnataka,12.570381300000001,76.91999711,2020-04-02,14
Karnataka,12.570381300000001,76.91999711,2020-04-03,4
Karnataka,12.570381300000001,76.91999711,2020-04-04,16
Karnataka,12.570381300000001,76.91999711,2020-04-05,7
Karnataka,12.570381300000001,76.91999711,2020-04-06,12
Karnataka,12.570381300000001,76.91999711,2020-04-07,12
Karnataka,12.570381300000001,76.91999711,2020-04-08,6
Karnataka,12.570381300000001,76.91999711,2020-04-09,16
Karnataka,12.570381300000001,76.91999711,2020-04-10,10
Karnataka,12.570381300000001,76.91999711,2020-04-11,8
Karnataka,12.570381300000001,76.91999711,2020-04-12,17
Karnataka,12.570381300000001,76.91999711,2020-04-13,15
Karnataka,12.570381300000001,76.91999711,2020-04-14,13
Karnataka,12.570381300000001,76.91999711,2020-04-15,19
Kerala,8.9003727,76.56999263,2020-01-30,1
Kerala,8.9003727,76.56999263,2020-02-02,1
Kerala,8.9003727,76.56999263,2020-02-03,1
