State,District,Reported,Sigma,Delta,Today,Day,Name,Population,TNaught,TN,perDelta
Andaman and Nicobar Islands,south andaman,2020-04-21,32,0,0,38,south andaman,298725,111,114,0.0
Delhi,unknown,2020-04-21,15493,232,0,38,unknown,1000000,111,112,1.5
Goa,unknown,2020-04-21,45,0,0,38,unknown,1000000,111,140,0.0
Haryana,unknown,2020-05-19,21,0,21,4,unknown,1000000,139,144,0.0
Jharkhand,unknown,2020-04-23,31,3,0,36,unknown,1000000,113,130,9.68
Manipur,unknown,2020-05-16,24,6,0,13,unknown,1000000,136,149,25.0
Telangana,unknown,2020-04-21,357,51,0,38,unknown,1000000,111,112,14.29
Uttar Pradesh,unknown,2020-04-21,321,0,319,28,unknown,1000000,111,120,0.0
Andhra Pradesh,anantapur,2020-04-21,209,-67,0,38,anantapur,5119392,111,112,-32.06
Andhra Pradesh,chittoor,2020-04-21,238,-22,0,38,chittoor,5235945,111,112,-9.24
Andhra Pradesh,east godavari,2020-04-21,154,-81,0,38,east godavari,6465548,111,112,-52.6
Andhra Pradesh,guntur,2020-04-21,465,-13,0,38,guntur,6131272,111,112,-2.8
Andhra Pradesh,krishna,2020-04-21,445,-49,0,38,krishna,5666624,111,112,-11.01
Andhra Pradesh,kurnool,2020-04-21,688,-20,0,38,kurnool,5084663,111,112,-2.91
Andhra Pradesh,prakasam,2020-04-21,75,-2,0,38,prakasam,4261758,111,112,-2.67
Andhra Pradesh,s.p.s. nellore,2020-04-21,233,-47,0,38,s.p.s. nellore,3717485,111,112,-20.17
Andhra Pradesh,srikakulam,2020-04-25,21,-5,0,34,srikakulam,3390786,115,148,-23.81
Andhra Pradesh,visakhapatnam,2020-04-21,99,-6,0,38,visakhapatnam,5382114,111,112,-6.06
Andhra Pradesh,vizianagaram,2020-05-07,22,-6,0,22,vizianagaram,2940908,127,148,-27.27
Andhra Pradesh,west godavari,2020-04-21,83,-8,0,38,west godavari,4938530,111,112,-9.64
Andhra Pradesh,y.s.r.,2020-04-21,79,0,6,10,y.s.r.,3615769,111,112,0.0
Assam,cachar,2020-04-21,45,11,0,38,cachar,2178412,111,143,24.44
Assam,goalpara,2020-04-21,27,0,11,38,goalpara,1264664,111,150,0.0
Assam,golaghat,2020-04-21,143,-20,0,38,golaghat,1338304,111,146,-13.99
Assam,kamrup,2020-04-21,23,-2,1,38,kamrup,1903604,111,145,-8.7
Assam,kamrup metropolitan,2020-04-21,279,-12,0,38,kamrup metropolitan,1572939,111,134,-4.3
Assam,karimganj,2020-05-01,33,0,0,28,karimganj,1541263,121,146,0.0
Assam,lakhimpur,2020-04-21,28,0,0,38,lakhimpur,1307256,111,146,0.0
Assam,morigaon,2020-04-21,26,-6,0,38,morigaon,1200991,111,147,-23.08
Assam,nagaon,2020-05-13,34,6,1,16,nagaon,3542134,133,148,17.65
Assam,nalbari,2020-04-21,20,0,3,38,nalbari,967943,111,150,0.0
Bihar,araria,2020-04-28,29,-15,0,31,araria,3526832,118,148,-51.72
Bihar,arwal,2020-04-25,41,-5,0,34,arwal,879137,115,143,-12.2
Bihar,aurangabad,2020-04-24,63,-2,0,35,aurangabad,3186267,114,137,-3.17
Bihar,aurangabad,2020-04-24,63,-2,0,35,aurangabad,4642888,114,137,-3.17
Maharashtra,aurangabad,2020-04-21,1370,10,0,38,aurangabad,3186267,111,112,0.73
Maharashtra,aurangabad,2020-04-21,1370,10,0,38,aurangabad,4642888,111,112,0.73
Bihar,banka,2020-04-22,105,0,0,37,banka,2552406,112,137,0.0
Bihar,begusarai,2020-04-21,180,17,0,38,begusarai,3726246,111,130,9.44
Bihar,bhagalpur,2020-04-21,112,17,0,38,bhagalpur,3810573,111,131,15.18
Bihar,bhojpur,2020-04-21,54,7,0,38,bhojpur,3422513,111,131,12.96
Bihar,buxar,2020-04-21,114,0,0,38,buxar,2140447,111,115,0.0
Bihar,darbhanga,2020-04-27,69,-4,0,32,darbhanga,4939055,117,141,-5.8
Bihar,gaya,2020-04-21,65,12,0,38,gaya,5508594,111,143,18.46
Bihar,gopalganj,2020-04-21,101,2,0,38,gopalganj,3213787,111,132,1.98
Bihar,jamui,2020-05-13,29,0,0,16,jamui,2208252,133,143,0.0
Bihar,jehanabad,2020-04-26,112,0,0,33,jehanabad,1411592,116,134,0.0
Bihar,kaimur,2020-05-02,57,0,0,27,kaimur,2040136,122,123,0.0
Bihar,katihar,2020-05-02,134,0,0,27,katihar,3852298,122,139,0.0
Bihar,khagaria,2020-05-08,148,7,0,21,khagaria,2090941,128,133,4.73
Bihar,kishanganj,2020-05-07,32,-1,0,22,kishanganj,2120437,127,147,-3.12
Bihar,lakhisarai,2020-04-21,32,0,0,38,lakhisarai,1255544,111,142,0.0
Bihar,madhepura,2020-04-24,52,-9,0,35,madhepura,2511010,114,140,-17.31
Bihar,madhubani,2020-04-27,176,1,0,32,madhubani,5628968,117,125,0.57
Bihar,munger,2020-04-21,148,0,0,38,munger,1715724,111,112,0.0
Bihar,muzaffarpur,2020-05-09,43,1,0,20,muzaffarpur,6022452,129,137,2.33
Bihar,nalanda,2020-04-21,104,13,0,38,nalanda,3609727,111,112,12.5
Bihar,nawada,2020-04-21,81,9,0,38,nawada,2783696,111,134,11.11
Bihar,patna,2020-04-21,232,13,0,38,patna,7323770,111,114,5.6
Bihar,purnia,2020-04-27,59,10,0,32,purnia,4095138,117,137,16.95
Bihar,rohtas,2020-04-21,201,0,0,38,rohtas,3712921,111,118,0.0
Bihar,saharsa,2020-05-08,57,-3,0,21,saharsa,2384189,128,140,-5.26
Bihar,samastipur,2020-05-04,62,0,0,25,samastipur,5345708,124,142,0.0
Bihar,saran,2020-04-21,52,1,0,38,saran,4957215,111,143,1.92
