Name,Population,knownNames
Adilabad,3438610.202,Adilabad
Agra,5542938.957,Agra
Ahmedabad,9049523.84,"Ahmedabad,Ahmadabad"
Ahmednagar,5698938.65,"Ahmednagar,Ahmadnagar"
Aizawl,502147.6096,Aizawl
Ajmer,3240180.429,Ajmer
Akola,2275363.686,Akola
Alappuzha,2669098.522,Alappuzha
Aligarh,4608526.362,Aligarh
Alirajpur,914456.3456,Alirajpur
Allahabad ,7469188.07,Allahabad 
Alwar,4608890.138,Alwar
Ambala,1415402.24,Ambala
Ambedkar Nagar,3007910.707,Ambedkar Nagar
Amravati,3623265.408,Amravati
Amreli,1899399.936,Amreli
Amritsar ,3124278.886,Amritsar 
Anand  ,2625139.328,Anand  
Anantapur,5119392.051,Anantapur
Anantnag,1353111.245,Anantnag
Anjaw,26551.8848,Anjaw
Anugul  ,1597881.062,Anugul  
Anuppur,939842.8928,Anuppur
Araria,3526832.154,Araria
Ariyalur  ,946939.0336,Ariyalur  
Arwal,879137.4592,Arwal
Ashoknagar,1060057.062,Ashoknagar
Auraiya,1730501.248,Auraiya
Aurangabad,3186267.571,Aurangabad
Aurangabad,4642888.141,Aurangabad
Azamgarh,5787692.467,Azamgarh
Badgam,945497.728,Badgam
Bagalkot ,2370504.909,Bagalkot 
Bageshwar,326016.0512,Bageshwar
Baghpat,1634543.411,Baghpat
Bahraich,4375009.766,Bahraich
Baksa,1191774.08,Baksa
Balaghat,2134609.971,Balaghat
Balangir,2068501.837,Balangir
Baleshwar,2910871.578,Baleshwar
Ballia,4063972.506,Ballia
Balrampur,2695285.376,Balrampur
Banaskantha,3914362.726,Banas Kantha
Banda,2257179.904,Banda
Bandipore,492015.8208,"Bandipore,Bandipora"
Bengaluru,12069273.57,"Bengaluru,Bengaluru Urban"
Bengaluru Rural,1243013.811,Bengaluru Rural
Banka,2552406.707,Banka
Bankura ,4511667.866,Bankura 
Banswara,2254765.184,Banswara
Bara Banki,4090220.826,Bara Banki
Baramula,1264484.122,Baramula
Baran,1533823.872,Baran
Barddhaman ,9680911.027,Barddhaman 
Bareilly,5580021.53,Bareilly
Bargarh,1858086.272,Bargarh
Barmer,3266145.254,Barmer
Barnala,747029.0688,Barnala
Barpeta,2124479.437,Barpeta
Barwani ,1738449.126,Barwani 
Bastar,1772716.826,Bastar
Basti,3091423.642,Basti
Bathinda,1741765.76,Bathinda
Baudh,553393.6128,Baudh
Begusarai,3726246.63,Begusarai
Belgaum,5995606.758,Belgaum
Bellary,3076535.168,Bellary
Betul,1976134.093,Betul
Bhadrak,1889549.133,Bhadrak
Bhagalpur,3810573.67,Bhagalpur
Bhandara,1505698.97,Bhandara
Bharatpur,3196790.733,Bharatpur
Bharuch,1945598.234,Bharuch
Bhavnagar,3613129.856,Bhavnagar
Bhilwara,3021251.251,Bhilwara
Bhind,2136249.472,Bhind
Bhiwani,2050247.808,Bhiwani
Bhojpur,3422513.741,Bhojpur
Bhopal,2974258.918,Bhopal
Bid,3242685.466,Bid
Bidar,2136619.52,Bidar
Bijapur,320160.512,Bijapur
Bijapur,2731244.006,Bijapur
Bijnor,4619595.187,Bijnor
Bikaner,2965322.573,Bikaner
Bilaspur,479125.6064,Bilaspur
Bilaspur,3341256.218,Bilaspur
Birbhum,4393415.578,Birbhum
Bishnupur,297793.3056,Bishnupur
Bokaro,2586986.752,Bokaro
Bongaigaon,926755.7376,Bongaigaon
Budaun,4618570.342,Budaun
Bulandshahr ,4389360.102,Bulandshahr 
Buldana,3244202.035,Buldana
Bundi,1393520.486,Bundi
Burhanpur,950643.2768,Burhanpur
Buxar,2140447.949,Buxar
Cachar,2178412.365,Cachar
Central,730462.208,Central
Chamarajanagar,1280480.23,Chamarajanagar
Chamba,651133.952,Chamba
Chamoli,491229.312,Chamoli
Champawat,325702.4512,Champawat
Champhai,157734.528,Champhai
Chandauli,2449537.126,Chandauli
Chandel,180861.9008,Chandel
Chandigarh,1323956.48,Chandigarh
Chandrapur,2765082.701,Chandrapur
Changlang,185934.6944,Changlang
Chatra,1308196.198,Chatra
Chennai,5828860.621,Chennai
Chhatarpur,2210723.2,Chhatarpur
Chhindwara,2622852.557,Chhindwara
Chikkaballapura,1574402.458,Chikkaballapura
Chikmagalur,1427458.278,Chikmagalur
Chirang,604824.0128,Chirang
